,lnR,lnR_2
2018-02-07,0.011373515830167769,0.00012935686233907681
2018-02-08,0.015366358904810085,0.0002361249859914362
2018-02-09,-0.030256425247674912,0.0009154512687681399
2018-02-12,0.03429351843405026,0.0011760454065865452
2018-02-13,0.000309405004515817,9.573145681943273e-08
2018-02-14,-0.0010985177186135786,1.2067411781079816e-06
2018-02-22,0.018649737113055842,0.00034781269438609243
2018-02-23,-0.00534274862008477,2.854496281741771e-05
2018-02-26,0.03550717619579835,0.001260759561399469
2018-02-27,0.008287570939685907,6.868383208032635e-05
2018-02-28,0.005770396061733685,3.329747070927162e-05
2018-03-01,0.02044389216920095,0.00041795272702591595
2018-03-02,-0.010017321950836156,0.00010034673906670388
2018-03-05,0.013274853683444832,0.00017622174031686882
2018-03-06,0.001068655655093842,1.1420249091640485e-06
2018-03-07,-0.006888340549274119,4.744923552277407e-05
2018-03-08,0.0044432221854568965,1.9742223389336358e-05
2018-03-09,0.03465317539009316,0.0012008425646165583
2018-03-12,0.013886808911458104,0.0001928434617433522
2018-03-13,-0.005182310823980352,2.685634547634391e-05
2018-03-14,-0.01690414702935339,0.000285750186789997
2018-03-15,0.004021685637340511,1.617395536559095e-05
2018-03-16,-0.014926585638735723,0.00022280295883051154
2018-03-19,0.011789757328395822,0.000138998377862463
2018-03-20,0.011706008726275918,0.00013703064029964795
2018-03-21,-0.0187904936679697,0.00035308265228600934
2018-03-22,-0.0069534216344138144,4.835007242593408e-05
2018-03-23,-0.05149518360203764,0.0026517539342075665
2018-03-26,0.03113782214651195,0.0009695639680278101
2018-03-27,0.035355239468920274,0.001249992957904698
2018-03-28,-0.0051850196601543885,2.688442887618753e-05
2018-03-29,0.0038288592301105595,1.4660163004002826e-05
2018-03-30,0.031151404580352704,0.0009704100073288194
2018-04-02,-0.0001157669297269237,1.3401982018398491e-08
2018-04-03,-0.014732303996552787,0.00021704078104684522
2018-04-04,-0.019228043539917472,0.00036971765837296203
2018-04-09,0.002631537541840423,6.924989834115536e-06
2018-04-10,-0.00333408881204722,1.1116148206618442e-05
2018-04-11,-0.00048499381084976534,2.3521899656257797e-07
2018-04-12,-0.004227758706051077,1.7873943676590676e-05
2018-04-13,-0.0012597633311290934,1.58700365045747e-06
2018-04-16,0.007708934527060229,5.942767154250132e-05
2018-04-17,-0.030351955161573407,0.0009212411821301626
2018-04-18,0.02136520535994002,0.0004564720000724098
2018-04-19,-0.0010871535769068075,1.1819028997812658e-06
2018-04-20,-0.020799564180772556,0.0004326218701100767
2018-04-23,-0.016833643163533196,0.00028337154215716794
2018-04-24,0.030233404063141123,0.0009140587212451581
2018-04-25,0.00692174057990691,4.7910492655530046e-05
2018-04-26,-0.021180065709926588,0.00044859518347680806
